Initializing POSE...  
8 680 695
8 695 710
8 710 725
8 725 740
8 740 755
8 755 770
8 770 785
8 785 800
8 800 815
8 815 830
8 830 845
8 845 860
8 860 875
8 875 890
8 890 905
8 905 920
10 680 695
10 695 710
10 710 725
10 725 740
10 740 755
10 755 770
10 770 785
10 785 800
10 800 815
10 815 830
10 830 845
10 845 860
10 860 875
10 875 890
10 890 905
10 905 920
11 670 685
11 685 700
11 700 715
11 715 730
11 730 755
11 755 770
11 770 785
11 785 800
11 800 815
11 815 840
11 840 855
11 855 870
11 870 885
11 885 900
11 900 915
11 915 930
11 930 945
13 685 700
13 700 715
13 715 730
13 730 745
13 745 760
13 760 775
13 775 790
13 790 805
13 805 820
13 820 835
13 835 850
13 850 865
13 865 880
13 880 895
13 895 910
13 910 925
14 580 595
14 595 610
14 610 625
14 625 640
14 640 655
14 655 670
14 670 685
14 685 700
14 700 715
14 715 730
14 730 745
14 745 760
14 760 775
14 775 790
14 790 805
14 805 820
14 820 835
14 835 850
0 650 675
0 675 690
0 690 705
0 705 730
0 730 745
0 745 760
0 760 785
0 785 810
0 810 835
0 835 850
0 850 865
0 865 880
0 880 895
0 895 910
0 910 925
0 925 940
0 940 955
0 955 970
0 970 985
0 985 1000
0 1000 1015
1 875 890
1 890 905
1 905 920
1 920 935
1 935 960
1 960 975
1 975 990
1 990 1005
1 1005 1020
1 1020 1035
2 675 690
2 690 705
2 705 720
2 720 735
2 735 750
2 750 765
2 765 790
2 790 805
2 805 820
2 820 835
2 835 850
2 850 865
2 865 890
2 890 905
2 905 920
2 920 935
2 935 950
5 650 665
5 665 680
5 680 695
5 695 710
5 710 735
5 735 750
5 750 765
5 765 780
5 780 795
5 795 810
5 810 825
5 825 840
5 840 855
5 855 870
5 870 885
5 885 900
5 900 915
5 915 930
5 930 945
5 945 960
12 670 685
12 685 700
12 700 715
12 715 730
12 730 745
12 745 760
12 760 775
12 775 790
12 790 805
12 805 820
12 820 835
12 835 850
12 850 865
12 865 880
12 880 895
12 895 920
12 920 935
12 935 950
12 950 975
4 695 710
4 710 725
4 725 740
4 740 755
4 755 770
4 770 795
4 795 820
4 900 915
4 915 940
4 940 965
4 965 980
4 980 995
4 995 1010
4 1010 1025
4 1025 1040
4 1040 1055
15 820 835
15 835 850
15 850 875
15 875 900
15 900 915
15 915 930
15 930 945
15 945 960
15 960 975
15 975 990
15 990 1005
15 1005 1020
15 1020 1035
15 1035 1050
1 1035 1050
1 1050 1065
1 1065 1080
1 1080 1095
1 1095 1110
1 1110 1125
1 1125 1140
1 1140 1155
1 1155 1170
1 1170 1185
1 1185 1200
1 1200 1215
1 1215 1230
2 950 965
2 965 980
2 980 995
2 995 1010
2 1010 1025
2 1025 1040
2 1040 1055
2 1055 1070
2 1070 1085
2 1085 1100
2 1100 1115
2 1115 1130
2 1130 1145
2 1145 1160
2 1160 1175
2 1175 1200
3 840 855
3 855 870
3 870 885
3 885 900
3 900 915
3 915 930
3 930 945
3 945 960
3 960 975
3 975 990
3 990 1005
3 1005 1030
3 1030 1045
3 1045 1060
3 1060 1075
3 1075 1090
3 1090 1105
3 1105 1120
3 1120 1145
3 1145 1160
3 1160 1185
5 960 975
5 975 990
5 990 1005
5 1005 1020
5 1020 1035
5 1035 1050
5 1050 1075
5 1075 1090
5 1090 1105
5 1105 1120
5 1120 1135
5 1135 1160
5 1160 1175
5 1175 1190
6 845 860
6 860 885
6 885 900
6 900 915
6 915 940
6 940 955
6 955 970
6 970 985
6 985 1000
6 1000 1015
6 1015 1030
6 1030 1045
6 1045 1060
6 1060 1075
6 1075 1090
6 1090 1115
6 1115 1130
6 1130 1145
6 1145 1160
7 925 940
7 940 955
7 955 970
7 970 985
7 985 1000
7 1000 1015
7 1015 1030
7 1030 1045
7 1045 1060
7 1060 1075
7 1075 1090
7 1090 1105
7 1105 1120
7 1120 1135
7 1135 1150
7 1150 1165
7 1165 1180
7 1180 1195
7 1195 1210
7 1210 1225
8 920 935
8 935 950
8 950 975
8 975 990
8 990 1005
8 1005 1020
8 1020 1035
8 1035 1050
8 1050 1065
8 1065 1080
8 1080 1095
8 1095 1110
8 1110 1125
8 1125 1140
8 1140 1155
8 1155 1170
9 825 840
9 840 855
9 855 880
9 880 895
9 895 910
9 910 925
9 925 940
9 940 955
9 955 980
9 980 995
9 995 1010
9 1010 1025
9 1025 1040
9 1040 1055
9 1055 1070
9 1070 1085
9 1085 1100
9 1100 1115
9 1115 1140
9 1140 1155
9 1155 1180
10 920 935
10 935 960
10 960 975
10 975 990
10 990 1005
10 1005 1020
10 1020 1035
10 1035 1050
10 1050 1065
10 1065 1080
10 1080 1095
10 1095 1110
10 1110 1125
10 1125 1140
10 1140 1155
10 1155 1170
10 1170 1195
11 945 960
11 960 975
11 975 990
11 990 1005
11 1005 1020
11 1020 1035
11 1035 1050
11 1050 1065
11 1065 1080
11 1080 1095
11 1095 1110
11 1110 1125
11 1125 1140
11 1140 1155
11 1155 1170
12 975 990
12 990 1005
12 1005 1020
12 1020 1035
12 1035 1050
12 1050 1075
12 1075 1090
12 1090 1105
12 1105 1120
12 1120 1135
12 1135 1150
12 1150 1165
12 1165 1180
12 1180 1195
12 1195 1210
12 1210 1225
13 925 940
13 940 955
13 955 970
13 970 995
13 995 1010
13 1010 1025
13 1025 1040
13 1040 1055
13 1055 1070
13 1070 1085
13 1085 1100
13 1100 1115
13 1115 1130
13 1130 1145
13 1145 1160
13 1160 1175
13 1175 1190
13 1190 1205
13 1205 1220
13 1220 1235
14 850 865
14 865 880
14 880 895
14 895 910
14 910 925
14 925 950
14 950 965
14 965 980
14 980 995
14 995 1010
14 1010 1025
14 1025 1040
14 1040 1065
14 1065 1080
14 1080 1095
14 1095 1110
14 1110 1125
14 1125 1150
14 1150 1165
14 1165 1180
14 1180 1195
15 1050 1065
15 1065 1080
15 1080 1105
15 1105 1120
15 1120 1135
15 1135 1160
15 1160 1175
15 1175 1190
15 1190 1205
15 1205 1220
15 1220 1235
15 1235 1250
15 1250 1265
15 1265 1290
15 1290 1305
0 1015 1030
0 1030 1045
0 1045 1060
0 1060 1085
0 1085 1100
0 1100 1115
0 1115 1130
0 1130 1145
0 1145 1160
0 1160 1175
0 1175 1190
0 1190 1205
0 1205 1220
0 1220 1235
0 1235 1250
0 1250 1265
0 1265 1290
0 1290 1305
0 1305 1320
0 1320 1335
0 1335 1360
0 1360 1375
0 1375 1400
1 1230 1255
1 1255 1270
1 1270 1295
1 1295 1310
1 1310 1325
1 1325 1340
1 1340 1355
1 1355 1370
1 1370 1385
1 1385 1400
1 1400 1415
1 1415 1430
1 1430 1445
2 1200 1215
2 1215 1230
2 1230 1245
2 1245 1260
2 1260 1275
2 1275 1290
2 1290 1305
2 1305 1320
2 1320 1335
2 1335 1350
2 1350 1365
2 1365 1380
2 1380 1395
2 1395 1410
2 1410 1425
2 1425 1440
2 1440 1455
5 1190 1205
5 1205 1220
5 1220 1235
5 1235 1250
5 1250 1265
5 1265 1280
5 1280 1295
5 1295 1320
5 1320 1335
5 1335 1360
5 1360 1375
5 1375 1400
5 1400 1415
5 1415 1430
6 1160 1175
6 1175 1190
6 1190 1215
6 1215 1230
6 1230 1245
6 1245 1260
6 1260 1275
6 1275 1290
6 1290 1305
6 1305 1320
6 1320 1335
6 1335 1350
6 1350 1365
6 1365 1380
6 1380 1395
6 1395 1410
6 1410 1425
6 1425 1440
11 1170 1185
11 1185 1200
11 1200 1215
11 1215 1230
11 1230 1245
11 1245 1260
11 1260 1275
11 1275 1290
11 1290 1305
11 1305 1320
11 1320 1335
11 1335 1350
11 1350 1375
11 1375 1390
11 1390 1405
11 1405 1420
11 1420 1435
3 1185 1200
3 1200 1215
3 1215 1230
3 1230 1245
3 1245 1260
3 1260 1275
3 1275 1290
3 1290 1305
3 1305 1330
3 1330 1355
3 1355 1370
3 1370 1385
3 1385 1410
3 1410 1435
3 1435 1450
3 1450 1465
3 1465 1480
4 1055 1070
4 1070 1085
4 1085 1100
4 1100 1115
4 1115 1130
4 1130 1145
4 1145 1160
4 1160 1185
4 1185 1200
4 1200 1215
4 1215 1230
4 1230 1255
4 1255 1280
4 1280 1305
4 1305 1320
4 1320 1335
4 1335 1350
4 1350 1365
4 1365 1380
4 1380 1395
4 1395 1410
4 1410 1435
7 1225 1240
7 1240 1255
7 1255 1270
7 1270 1285
7 1285 1300
7 1300 1315
7 1315 1330
7 1330 1355
7 1355 1370
7 1370 1385
7 1385 1400
7 1400 1415
7 1415 1430
7 1430 1445
7 1445 1460
7 1460 1475
7 1475 1500
7 1500 1515
8 1170 1185
8 1185 1200
8 1200 1215
8 1215 1230
8 1230 1245
8 1245 1260
8 1260 1275
8 1275 1290
8 1290 1305
8 1305 1320
8 1320 1335
8 1335 1350
8 1350 1365
8 1365 1380
8 1380 1395
8 1395 1420
8 1420 1435
8 1435 1450
8 1450 1465
9 1180 1195
9 1195 1210
9 1210 1235
9 1235 1250
9 1250 1265
9 1265 1290
9 1290 1305
9 1305 1320
9 1320 1335
9 1335 1360
9 1360 1375
9 1375 1390
9 1390 1415
9 1415 1430
9 1430 1445
9 1445 1460
9 1460 1475
9 1475 1490
10 1195 1210
10 1210 1225
10 1225 1240
10 1240 1255
10 1255 1270
10 1270 1295
10 1295 1310
10 1310 1335
10 1335 1350
10 1350 1365
10 1365 1380
10 1380 1395
10 1395 1410
10 1410 1425
10 1425 1440
10 1440 1455
12 1225 1240
12 1240 1255
12 1255 1270
12 1270 1285
12 1285 1300
12 1300 1315
12 1315 1330
12 1330 1345
12 1345 1370
12 1370 1385
12 1385 1400
12 1400 1415
12 1415 1430
12 1430 1445
12 1445 1460
12 1460 1475
12 1475 1490
13 1235 1250
13 1250 1265
13 1265 1280
13 1280 1295
13 1295 1310
13 1310 1325
13 1325 1340
13 1340 1355
13 1355 1370
13 1370 1385
13 1385 1400
13 1400 1415
13 1415 1430
13 1430 1445
13 1445 1460
13 1460 1475
13 1475 1490
13 1490 1505
13 1505 1520
13 1520 1535
13 1535 1550
14 1195 1210
14 1210 1225
14 1225 1240
14 1240 1255
14 1255 1270
14 1270 1285
14 1285 1300
14 1300 1315
14 1315 1330
14 1330 1345
14 1345 1360
14 1360 1375
14 1375 1390
14 1390 1405
14 1405 1420
14 1420 1435
14 1435 1460
14 1460 1475
14 1475 1490
14 1490 1505
14 1505 1520
14 1520 1535
14 1535 1560
14 1560 1575
15 1305 1320
15 1320 1335
15 1335 1350
15 1350 1365
15 1365 1390
15 1390 1415
15 1415 1430
15 1430 1445
15 1445 1460
15 1460 1475
15 1475 1490
15 1490 1505
15 1505 1520
15 1520 1535
15 1535 1550
1 1445 1460
1 1460 1475
1 1475 1490
1 1490 1505
1 1505 1520
1 1520 1535
1 1535 1560
1 1560 1575
1 1575 1590
1 1590 1605
1 1605 1620
1 1620 1635
5 1430 1445
5 1445 1460
5 1460 1475
5 1475 1490
5 1490 1505
5 1505 1520
5 1520 1535
5 1535 1550
5 1550 1565
5 1565 1580
5 1580 1595
5 1595 1610
5 1610 1625
5 1625 1640
5 1640 1655
5 1655 1680
5 1680 1695
8 1465 1480
8 1480 1495
8 1495 1510
8 1510 1525
8 1525 1540
8 1540 1555
8 1555 1570
8 1570 1585
8 1585 1600
8 1600 1615
8 1615 1630
8 1630 1645
8 1645 1660
8 1660 1685
2 1455 1470
2 1470 1485
2 1485 1500
2 1500 1515
2 1515 1530
2 1530 1545
2 1545 1560
2 1560 1575
2 1575 1590
2 1590 1605
2 1605 1620
2 1620 1635
2 1635 1650
2 1650 1665
2 1665 1680
2 1680 1695
2 1695 1710
2 1710 1725
4 1600 1625
10 1455 1470
10 1470 1485
10 1485 1510
10 1510 1535
10 1535 1550
10 1550 1565
10 1565 1580
10 1580 1595
10 1595 1620
10 1620 1645
10 1645 1660
10 1660 1675
10 1675 1690
10 1690 1705
12 1490 1505
12 1505 1520
12 1520 1535
12 1535 1550
12 1550 1565
12 1565 1580
12 1580 1595
12 1595 1610
12 1610 1625
12 1625 1640
12 1640 1655
12 1655 1670
12 1670 1685
12 1685 1700
12 1700 1715
12 1715 1730
11 1435 1450
11 1450 1465
11 1465 1480
11 1480 1495
11 1495 1510
11 1510 1525
11 1525 1540
11 1540 1555
11 1555 1570
11 1570 1585
11 1585 1600
11 1600 1615
11 1615 1630
11 1630 1645
11 1645 1660
11 1660 1675
11 1675 1690
11 1690 1705
11 1705 1720
11 1720 1735
11 1735 1750
11 1750 1765
15 1550 1565
15 1565 1580
15 1580 1595
15 1595 1610
15 1610 1625
15 1625 1640
15 1640 1655
15 1655 1680
15 1680 1695
15 1695 1710
15 1710 1725
15 1725 1740
15 1740 1755
15 1755 1770
15 1770 1785
15 1785 1800
6 1440 1455
6 1455 1470
6 1470 1485
6 1485 1500
6 1500 1515
6 1515 1530
6 1530 1545
6 1545 1560
6 1560 1575
6 1575 1590
6 1590 1605
6 1605 1620
6 1620 1645
6 1645 1660
6 1660 1675
6 1675 1690
6 1690 1705
6 1705 1720
6 1720 1735
6 1735 1750
6 1750 1765
6 1765 1780
6 1780 1795
6 1795 1810
7 1515 1530
7 1530 1545
7 1545 1560
7 1560 1575
7 1575 1590
7 1590 1605
7 1605 1620
7 1620 1635
7 1635 1650
7 1650 1675
7 1675 1690
7 1690 1705
7 1705 1720
7 1720 1735
7 1735 1750
7 1750 1775
7 1775 1790
7 1790 1815
7 1815 1830
9 1490 1515
9 1515 1530
9 1530 1545
9 1545 1560
9 1560 1575
9 1575 1600
9 1600 1615
9 1615 1640
9 1640 1655
9 1655 1680
9 1680 1695
9 1695 1710
9 1710 1725
9 1725 1740
9 1740 1755
9 1755 1770
9 1770 1785
9 1785 1800
9 1800 1815
9 1815 1830
13 1550 1565
13 1565 1580
13 1580 1595
13 1595 1610
13 1610 1625
13 1625 1640
13 1640 1665
13 1665 1680
13 1680 1695
13 1695 1710
13 1710 1725
13 1725 1740
13 1740 1755
13 1755 1770
13 1770 1785
13 1785 1800
13 1800 1815
13 1815 1830
0 1400 1415
0 1415 1440
0 1440 1455
0 1455 1480
0 1480 1495
0 1495 1520
0 1520 1545
0 1545 1560
0 1560 1585
0 1585 1600
0 1600 1615
0 1615 1630
0 1630 1655
0 1655 1680
0 1680 1705
0 1705 1720
0 1720 1735
0 1735 1750
0 1750 1765
0 1765 1780
0 1780 1795
0 1795 1810
0 1810 1835
0 1835 1850
0 1850 1865
1 1635 1650
1 1650 1665
1 1665 1680
1 1680 1705
1 1705 1730
1 1730 1755
1 1755 1770
1 1770 1785
1 1785 1800
1 1800 1815
1 1815 1830
1 1830 1845
1 1845 1860
1 1860 1875
1 1875 1890
1 1890 1905
3 1480 1495
3 1495 1510
3 1510 1525
3 1525 1540
3 1540 1555
3 1555 1570
3 1570 1585
3 1585 1600
3 1600 1615
3 1615 1630
3 1630 1645
3 1645 1670
3 1670 1685
3 1685 1710
3 1710 1725
3 1725 1740
3 1740 1755
3 1755 1780
3 1780 1795
3 1795 1810
3 1810 1825
3 1825 1840
3 1840 1855
3 1855 1880
3 1880 1895
14 1575 1590
14 1590 1605
14 1605 1620
14 1620 1635
14 1635 1650
14 1650 1675
14 1675 1700
14 1700 1715
14 1715 1730
14 1730 1745
14 1745 1760
14 1760 1775
14 1775 1790
14 1790 1805
14 1805 1830
14 1830 1845
14 1845 1860
14 1860 1875
14 1875 1900
2 1725 1740
2 1740 1765
2 1765 1780
2 1780 1795
2 1795 1810
2 1810 1825
2 1825 1840
2 1840 1865
2 1865 1890
2 1890 1915
2 1915 1930
2 1930 1945
2 1945 1960
2 1960 1985
5 1695 1710
5 1710 1725
5 1725 1740
5 1740 1755
5 1755 1770
5 1770 1785
5 1785 1810
5 1810 1825
5 1825 1840
5 1840 1855
5 1855 1880
5 1880 1895
5 1895 1910
5 1910 1925
5 1925 1940
5 1940 1955
5 1955 1980
5 1980 1995
8 1685 1700
8 1700 1715
8 1715 1730
8 1730 1745
8 1745 1760
8 1760 1775
8 1775 1800
8 1800 1815
8 1815 1830
8 1830 1855
8 1855 1880
8 1880 1895
8 1895 1910
8 1910 1925
8 1925 1940
8 1940 1955
8 1955 1970
10 1705 1730
10 1730 1745
10 1745 1770
10 1770 1785
10 1785 1800
10 1800 1815
10 1815 1830
10 1830 1845
10 1845 1860
10 1860 1875
10 1875 1890
10 1890 1905
10 1905 1920
10 1920 1935
10 1935 1950
10 1950 1965
10 1965 1980
10 1980 1995
12 1730 1745
12 1745 1760
12 1760 1775
12 1775 1790
12 1790 1815
12 1815 1830
12 1830 1845
12 1845 1860
12 1860 1875
12 1875 1890
12 1890 1905
12 1905 1920
12 1920 1935
12 1935 1950
12 1950 1965
12 1965 1980
12 1980 1995
12 1995 2020
12 2020 2035
7 1830 1845
7 1845 1860
7 1860 1875
7 1875 1890
7 1890 1905
7 1905 1920
7 1920 1935
7 1935 1950
7 1950 1965
7 1965 1980
7 1980 1995
7 1995 2010
7 2010 2025
7 2025 2040
7 2040 2065
7 2065 2080
7 2080 2095
11 1765 1780
11 1780 1795
11 1795 1820
11 1820 1835
11 1835 1850
11 1850 1865
11 1865 1880
11 1880 1895
11 1895 1910
11 1910 1925
11 1925 1940
11 1940 1955
11 1955 1970
11 1970 1985
11 1985 2010
11 2010 2025
11 2025 2040
11 2040 2055
11 2055 2070
11 2070 2085
11 2085 2100
15 1800 1815
15 1815 1840
15 1840 1855
15 1855 1870
15 1870 1885
15 1885 1900
15 1900 1915
15 1915 1930
15 1930 1945
15 1945 1960
15 1960 1975
15 1975 1990
15 1990 2005
15 2005 2020
15 2020 2035
15 2035 2050
15 2050 2065
15 2065 2080
15 2080 2095
1 1905 1920
1 1920 1935
1 1935 1950
1 1950 1965
1 1965 1980
1 1980 1995
1 1995 2010
1 2010 2025
1 2025 2040
1 2040 2055
1 2055 2070
1 2070 2095
1 2095 2120
1 2120 2135
6 1810 1835
6 1835 1850
6 1850 1865
6 1865 1880
6 1880 1895
6 1895 1920
6 1920 1945
6 1945 1960
6 1960 1975
6 1975 2000
6 2000 2025
6 2025 2040
6 2040 2055
6 2055 2070
6 2070 2085
6 2085 2100
6 2100 2115
6 2115 2130
6 2130 2145
9 1830 1855
9 1855 1870
9 1870 1885
9 1885 1900
9 1900 1915
9 1915 1940
9 1940 1965
9 1965 1980
9 1980 1995
9 1995 2020
9 2020 2035
9 2035 2060
9 2060 2075
9 2075 2090
9 2090 2105
9 2105 2120
13 1830 1845
13 1845 1860
13 1860 1875
13 1875 1890
13 1890 1905
13 1905 1920
13 1920 1935
13 1935 1950
13 1950 1965
13 1965 1980
13 1980 2005
13 2005 2020
13 2020 2035
13 2035 2050
13 2050 2065
13 2065 2090
13 2090 2105
13 2105 2130
4 1725 1740
4 1740 1765
4 1765 1790
4 1790 1805
4 1805 1830
4 1840 1865
4 1885 1910
4 1910 1925
4 1925 1940
4 1940 1955
4 1955 1970
4 1970 1995
4 1995 2010
4 2010 2035
4 2035 2060
4 2060 2085
4 2090 2105
4 2105 2130
4 2130 2155
